City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Nynashamn,SE,2021-12-02 00:47:21,58.9034,17.9479,28.2,69,100,19.39
156,San Policarpo,PH,2021-12-02 00:47:21,12.1791,125.5072,80.71,86,100,14.12
157,Akdepe,TM,2021-12-02 00:47:22,42.0551,59.3788,46.4,40,100,9.6
158,Pisco,PE,2021-12-02 00:47:23,-13.7,-76.2167,66.25,77,0,16.11
159,Carnarvon,AU,2021-12-02 00:47:23,-24.8667,113.6333,73.47,56,0,26.46
160,Buta,CD,2021-12-02 00:47:23,2.7858,24.73,69.87,98,100,2.24
161,Wadi Maliz,TN,2021-12-02 00:47:24,36.4681,8.5495,46.06,70,0,5.44
162,Yamada,JP,2021-12-02 00:47:24,39.4667,141.95,38.71,61,14,22.55
163,Kashira,RU,2021-12-02 00:47:24,54.8444,38.1669,21.54,85,41,11.97
164,Wangqing,CN,2021-12-02 00:47:25,43.3218,129.7634,24.53,64,2,9.28
165,Waingapu,ID,2021-12-02 00:47:25,-9.6567,120.2641,84.15,65,99,4.14
166,Sosnovka,RU,2021-12-02 00:47:27,56.255,51.2842,25.21,91,17,7.85
167,Hammerfest,NO,2021-12-02 00:47:28,70.6634,23.6821,30.65,86,75,18.41
168,Bathsheba,BB,2021-12-02 00:47:28,13.2167,-59.5167,81.21,78,40,19.57
169,Praia Da Vitoria,PT,2021-12-02 00:47:30,38.7333,-27.0667,62.85,94,75,6.93
170,Yulara,AU,2021-12-02 00:47:30,-25.2406,130.9889,94.84,15,0,10.36
171,Sovetskiy,RU,2021-12-02 00:47:31,61.3614,63.5842,32.79,98,100,10.18
172,Margate,GB,2021-12-02 00:47:31,51.3813,1.3862,38.7,76,48,8.01
173,Lorengau,PG,2021-12-02 00:47:31,-2.0226,147.2712,86.25,67,68,3.33
174,Banjar,ID,2021-12-02 00:47:32,-8.19,114.9675,82.26,81,100,0.89
175,San Juan,AR,2021-12-02 00:47:33,-31.5375,-68.5364,81.52,30,0,9.42
176,Kapaa,US,2021-12-02 00:47:33,22.0752,-159.319,82.38,74,40,5.01
177,Oranjestad,AW,2021-12-02 00:47:34,12.524,-70.027,80.55,89,20,6.91
178,Cayenne,GF,2021-12-02 00:47:34,4.9333,-52.3333,80.1,87,0,1.01
179,Ilulissat,GL,2021-12-02 00:47:35,69.2167,-51.1,30.97,61,100,11.52
180,Fairbanks,US,2021-12-02 00:47:35,64.8378,-147.7164,-1.79,76,75,0.0
181,Huilong,CN,2021-12-02 00:47:35,31.8111,121.655,49.03,49,0,9.6
182,Mar Del Plata,AR,2021-12-02 00:44:55,-38.0023,-57.5575,61.88,84,0,20.0
183,Saskylakh,RU,2021-12-02 00:48:36,71.9167,114.0833,-33.81,100,99,1.05
184,Leningradskiy,RU,2021-12-02 00:48:37,69.3833,178.4167,-14.6,90,100,5.88
185,Riyadh,SA,2021-12-02 00:45:08,24.6877,46.7219,60.94,32,8,7.25
186,Galesong,ID,2021-12-02 00:48:37,-5.3166,119.3661,84.22,73,100,3.8
187,Cidreira,BR,2021-12-02 00:48:38,-30.1811,-50.2056,65.34,71,16,7.61
188,Solnechnyy,RU,2021-12-02 00:48:38,50.7214,136.6319,13.23,73,100,5.61
189,Monrovia,LR,2021-12-02 00:48:39,6.3005,-10.7969,79.66,80,29,4.72
190,Galveston,US,2021-12-02 00:46:51,29.3669,-94.9669,71.19,87,1,6.91
191,Warrington,GB,2021-12-02 00:48:40,53.3925,-2.5802,39.27,79,0,1.01
192,Peniche,PT,2021-12-02 00:47:12,39.3558,-9.3811,55.62,76,97,22.86
193,Svarstad,NO,2021-12-02 00:48:41,59.399,9.9698,25.66,76,100,5.99
194,Baykit,RU,2021-12-02 00:48:42,61.67,96.37,2.97,98,100,1.97
195,Luau,AO,2021-12-02 00:48:42,-10.7073,22.2247,63.9,97,100,2.89
196,Narsaq,GL,2021-12-02 00:48:42,60.9167,-46.05,32.18,99,100,20.69
